health_zone,lng,lat
Katwa,29.374203,0.117155
Kisangani,25.2057292,0.5184021
Goma,29.225652,-1.6665685
Opala,24.2298322,-0.5096558
Bunia,30.2478844,1.5620529
Butembo,29.2919545,0.1249694
Waine-Rukula,25.5297827,0.1949971
Ubundu,25.43209,-0.357654
Kibirizi,29.2030412,-0.9081175
Oicha,29.5172722,0.6967778
Sake,29.053624,-1.571281
Île Dagambwa,29.0909252,-1.8867459
Île Mutuza,29.1099969,-1.8958374
Île Mukonde,29.0789132,-1.9251483
Rugerero,29.3006011,-1.690949
Kabinzi,29.2837523,-1.6882149
Île Kabanga,29.1003709,-1.9055898
Yangambi,24.4733629,0.7658281
Epulu,28.5711433,1.4030422
Libokora,29.644707,0.3487047
Sikwakira,29.4903189,0.6324798
Kipese,29.2919205,-0.2382728
Beni,29.4653222,0.4939335
Butusande,29.4304991,-1.148074
Yandumba,25.3444956,1.7030502
Mpondwe,29.7256638,0.0396372
Isangi,24.2690944,0.7795426
Kanyabayonga,29.170316,-0.70048
Kitchanga,29.0607175,-1.2504197
Kyeshero,29.6171005,-0.9122912
Rugando,29.6103739,-0.9323261
Adusa,28.001129,1.404476
Babeke,28.0430385,1.3979495
Talisa Lokele,27.9760664,1.3368607
Basiri,27.9741978,1.3292838
Bomili,27.0032919,1.6572
Nduye,28.9983754,1.8291163
Mambasa,29.035422,1.360333
Banalia,25.3200682,1.5564193
Ekwe,29.0495,1.4555556
Tsumbi,29.0511608,1.4912723
Panga,26.3979388,1.8453341
Bengamisa,25.2119795,0.9259861
Bobende,25.319433,1.5753864
Zambeke,25.3800295,1.7955325
Bangwaze,25.4009722,1.9116864
Nyanya,27.6074223,1.4073372
Komanda,29.7886362,1.3626729
Boikene,29.4920356,0.5392725
Mbau,29.4987496,0.6529085
Kokola,29.6001822,0.782157
Eringeti,29.6123668,0.8518641
Kasindi,29.6896178,0.0469556
Pasisi,29.4073826,0.5038549
Bingo,29.320859,0.5230836
Home,29.3235865,0.5572285
Matango,29.2931101,0.6123877
Lebia,29.2551258,0.6193911
Mapelenga,29.2559565,0.645293
Maperanga,29.2501354,0.6709106
Biakato,29.2582865,0.8529923
Luengba,29.2055327,0.9701042
Mamumbu,29.2333419,0.9179262
Walikale,28.0764028,-1.4300801
Kitika,28.3646121,-1.2082977
Lubero,29.2385988,-0.1586686
Lubunga,25.1882325,0.4941255
Butogota,29.6365274,-0.8863694
Kinisya,29.6343666,-0.9338874
Katembe,29.647276,-0.938514
Samaria,29.632069,-0.955522
Iraaro,29.649648,-0.953989
Nyanga,29.6645838,-0.738767
