unique_id,health_zone,health_area,date,key_quote,sample_comments,type,category,code,sample_comments_fr,type_fr,category_fr,code_fr,n
2,Beni,Boikene,21-08-2018,,bring the vaccine for better prevention,Suggestion_request,Expand_or_modify_vaccination_prog.,Expand or modify vaccination program,apporter le vaccin pour une meilleure prévention,Suggestion_demande,Elargir_ou_modifer_le_programme_de_vaccination,Élargir ou modifer le programme de vaccination,1
3,Beni,Boikene,21-08-2018,,"in a couple, if one has some symptoms, do they have to sleep separately?",Question,Ebola_protective_behaviors,EVD protective behaviors,"dans un couple, l'un présente quelques symptômes, est-ce qu'ils doivent se separer au lit?",Question,Comportements_pour_la_prévention_d'Ebola,Comportements pour la prévention d'Ebola,1
3,Beni,Boikene,21-08-2018,,"in a couple, if one has some symptoms, do they have to sleep separately?",Question,Transmission,EVD transmission,"dans un couple, l'un présente quelques symptômes, est-ce qu'ils doivent se separer au lit?",Question,Transmission,Transmission du virus Ebola,1
4,Beni,Boikene,21-08-2018,,why do we place sick people in quarantine if their symptoms resemble other diseases?,Question,So_much_focus_on_Ebola,EVD vs other diseases,pourquoi on met en quanrantaine les malades qui présentent quelques signes qui sont semblables aux autres épidemies,Question,Tellement_d'attention_sur_Ebola,L'Ebola contre d'autres maladies,1
5,Beni,Boikene,21-08-2018,,"once we call the ambulance, why is the service complicated like it's the Okapi hotel? They say that he is not available, and then once the patient is brought there, the nurses are busy?",Question,Other_questions,"Travel, transport-related question","lors de l'appel au service qui s'occupe de l'ambulance, pourquoi ce service est compliqué lors de leur appel au niveau du Okapi palace? Dis-t-on qu'il n'est pas disponible et après avoir amené le patient que les infirmiers sont occupés?",Question,Autres_questions,Question liée au voyage ou au transport,1
5,Beni,Boikene,21-08-2018,,"once we call the ambulance, why is the service complicated like it's the Okapi hotel? They say that he is not available, and then once the patient is brought there, the nurses are busy?",Question,Diagnosis_treatment_and_ETC,Poor health care services,"lors de l'appel au service qui s'occupe de l'ambulance, pourquoi ce service est compliqué lors de leur appel au niveau du Okapi palace? Dis-t-on qu'il n'est pas disponible et après avoir amené le patient que les infirmiers sont occupés?",Question,Diagnostique_traitement_et_CTE,Faible qualité de soins medicaux,1
6,Beni,Kasabinyole,21-08-2018,,if we get this sickness we will definitely die,Rumors_beliefs_observations,Ebola_has_no_cure_always_results_in_death,"Ebola has no cure, always results in death",si on est atteint de cette maladie on doit neccesairement mourir,Rumeur_croyance_observation,Ebola_ne_se_guérit_pas_entraine_toujours_la_mort,Ebola ne se guérit pas/entraîne toujours la mort,1
7,Beni,Kasabinyole,21-08-2018,,it's witchcraft,Rumors_beliefs_observations,Ebola_causes,Supernatural cause,c'est la sorcelerie,Rumeur_croyance_observation,Origine_d_Ebola,Origine supernaturelle,1
8,Beni,Kasabinyole,21-08-2018,,many NGOs got funded because of this disease,Rumors_beliefs_observations,Critics_or_observation_of_the_response,Comment about responders (others),plusieur ONG ont trouvé de financement à cause de cette maladie,Rumeur_croyance_observation,Critiques_et_observations_de_la_riposte,Commentaire à propos du personnel de la riposte (autres),1
8,Beni,Kasabinyole,21-08-2018,1,many NGOs got funded because of this disease,Rumors_beliefs_observations,Ebola_is_organized_business,Ebola is organized business (or someone making money),plusieur ONG ont trouvé de financement à cause de cette maladie,Rumeur_croyance_observation,Ebola_est_business_organisé,Ebola est business organisé (ou quelqu'un gagne de l'argent),1
